;T;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t
73;460;-1815922.547;-1815922.547;-1815922.547;-1815922.547;-1815922.547;-1815922.547;-1815922.547;-1815922.547;-1815922.547;-1815922.547;-1815922.547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;465;-1815925.697;-1815925.697;-1815925.697;-1815925.697;-1815925.697;-1815925.697;-1815925.697;-1815925.697;-1815925.697;-1815925.697;-1815925.697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;470;-1815928.865;-1815928.865;-1815928.865;-1815928.865;-1815928.865;-1815928.865;-1815928.865;-1815928.865;-1815928.865;-1815928.865;-1815928.865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;475;-1815932.052;-1815932.052;-1815932.052;-1815932.052;-1815932.052;-1815932.052;-1815932.052;-1815932.052;-1815932.052;-1815932.052;-1815932.052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;480;-1815935.257;-1815935.257;-1815935.257;-1815935.257;-1815935.257;-1815935.257;-1815935.257;-1815935.257;-1815935.257;-1815935.257;-1815935.257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;485;-1815938.482;-1815938.482;-1815938.482;-1815938.482;-1815938.482;-1815938.482;-1815938.482;-1815938.482;-1815938.482;-1815938.482;-1815938.482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;490;-1815941.724;-1815941.724;-1815941.724;-1815941.724;-1815941.724;-1815941.724;-1815941.724;-1815941.724;-1815941.724;-1815941.724;-1815941.724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;495;-1815944.986;-1815944.986;-1815944.986;-1815944.986;-1815944.986;-1815944.986;-1815944.986;-1815944.986;-1815944.986;-1815944.986;-1815944.986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;500;-1815948.265;-1815948.265;-1815948.265;-1815948.265;-1815948.265;-1815948.265;-1815948.265;-1815948.265;-1815948.265;-1815948.265;-1815948.265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;505;-1815951.563;-1815951.563;-1815951.563;-1815951.563;-1815951.563;-1815951.563;-1815951.563;-1815951.563;-1815951.563;-1815951.563;-1815951.563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;510;-1815954.88;-1815954.88;-1815954.88;-1815954.88;-1815954.88;-1815954.88;-1815954.88;-1815954.88;-1815954.88;-1815954.88;-1815954.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;515;-1815958.215;-1815958.215;-1815958.215;-1815958.215;-1815958.215;-1815958.215;-1815958.215;-1815958.215;-1815958.215;-1815958.215;-1815958.215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;520;-1815961.568;-1815961.568;-1815961.568;-1815961.568;-1815961.568;-1815961.568;-1815961.568;-1815961.568;-1815961.568;-1815961.568;-1815961.568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;525;-1815964.939;-1815964.939;-1815964.939;-1815964.939;-1815964.939;-1815964.939;-1815964.939;-1815964.939;-1815964.939;-1815964.939;-1815964.939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;530;-1815968.329;-1815968.329;-1815968.329;-1815968.329;-1815968.329;-1815968.329;-1815968.329;-1815968.329;-1815968.329;-1815968.329;-1815968.329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
