,T,101_t,104_t,118_t,12_t,1_t,34_t,38_t,52_t,60_t,62_t,96_t
81,500.00,-1815948.265,-1815938.675,-1815960.915,-1815939.960,-1815949.453,-1815943.637,-1815943.611,-1815942.892,-1815964.512,-1815948.341,-1815947.564
82,505.00,-1815951.563,-1815941.931,-1815964.166,-1815943.249,-1815952.644,-1815946.942,-1815946.878,-1815946.185,-1815967.807,-1815951.642,-1815950.859
83,510.00,-1815954.880,-1815945.205,-1815967.436,-1815946.555,-1815955.854,-1815950.265,-1815950.163,-1815949.496,-1815971.121,-1815954.962,-1815954.171
84,515.00,-1815958.215,-1815948.498,-1815970.724,-1815949.880,-1815959.082,-1815953.606,-1815953.467,-1815952.825,-1815974.452,-1815958.300,-1815957.502
85,520.00,-1815961.568,-1815951.809,-1815974.031,-1815953.224,-1815962.328,-1815956.966,-1815956.789,-1815956.172,-1815977.802,-1815961.656,-1815960.851
86,525.00,-1815964.939,-1815955.139,-1815977.355,-1815956.585,-1815965.593,-1815960.344,-1815960.129,-1815959.538,-1815981.170,-1815965.030,-1815964.219
87,530.00,-1815968.329,-1815958.486,-1815980.698,-1815959.965,-1815968.875,-1815963.740,-1815963.488,-1815962.922,-1815984.556,-1815968.423,-1815967.604
88,535.00,-1815971.737,-1815961.852,-1815984.059,-1815963.363,-1815972.176,-1815967.154,-1815966.865,-1815966.324,-1815987.960,-1815971.833,-1815971.008
89,540.00,-1815975.163,-1815965.236,-1815987.438,-1815966.779,-1815975.495,-1815970.587,-1815970.259,-1815969.744,-1815991.383,-1815975.262,-1815974.430
90,545.00,-1815978.607,-1815968.638,-1815990.835,-1815970.213,-1815978.832,-1815974.037,-1815973.672,-1815973.183,-1815994.823,-1815978.709,-1815977.870
91,550.00,-1815982.069,-1815972.058,-1815994.249,-1815973.665,-1815982.187,-1815977.506,-1815977.103,-1815976.639,-1815998.282,-1815982.174,-1815981.328
92,555.00,-1815985.549,-1815975.496,-1815997.682,-1815977.136,-1815985.560,-1815980.992,-1815980.552,-1815980.113,-1816001.758,-1815985.657,-1815984.804
93,560.00,-1815989.047,-1815978.952,-1816001.133,-1815980.624,-1815988.950,-1815984.497,-1815984.019,-1815983.605,-1816005.252,-1815989.158,-1815988.298
94,565.00,-1815992.563,-1815982.426,-1816004.601,-1815984.130,-1815992.359,-1815988.019,-1815987.504,-1815987.116,-1816008.764,-1815992.676,-1815991.810
95,570.00,-1815996.097,-1815985.918,-1816008.088,-1815987.654,-1815995.785,-1815991.559,-1815991.007,-1815990.644,-1816012.294,-1815996.213,-1815995.339
96,575.00,-1815999.648,-1815989.428,-1816011.592,-1815991.195,-1815999.229,-1815995.117,-1815994.527,-1815994.190,-1816015.842,-1815999.767,-1815998.887
97,580.00,-1816003.218,-1815992.955,-1816015.114,-1815994.755,-1816002.691,-1815998.693,-1815998.065,-1815997.753,-1816019.407,-1816003.339,-1816002.452
98,585.00,-1816006.805,-1815996.500,-1816018.653,-1815998.332,-1816006.171,-1816002.286,-1816001.621,-1816001.334,-1816022.990,-1816006.929,-1816006.035
99,590.00,-1816010.410,-1816000.063,-1816022.210,-1816001.927,-1816009.668,-1816005.898,-1816005.195,-1816004.933,-1816026.591,-1816010.537,-1816009.636
100,595.00,-1816014.032,-1816003.643,-1816025.785,-1816005.539,-1816013.183,-1816009.526,-1816008.786,-1816008.550,-1816030.209,-1816014.162,-1816013.254
101,600.00,-1816017.672,-1816007.241,-1816029.377,-1816009.169,-1816016.715,-1816013.173,-1816012.395,-1816012.184,-1816033.845,-1816017.804,-1816016.890
102,605.00,-1816021.329,-1816010.857,-1816032.987,-1816012.816,-1816020.265,-1816016.836,-1816016.021,-1816015.836,-1816037.498,-1816021.465,-1816020.543
103,610.00,-1816025.004,-1816014.490,-1816036.614,-1816016.481,-1816023.833,-1816020.518,-1816019.665,-1816019.505,-1816041.169,-1816025.142,-1816024.214
104,615.00,-1816028.697,-1816018.140,-1816040.258,-1816020.164,-1816027.417,-1816024.217,-1816023.326,-1816023.192,-1816044.857,-1816028.837,-1816027.902
105,620.00,-1816032.407,-1816021.808,-1816043.920,-1816023.864,-1816031.019,-1816027.933,-1816027.005,-1816026.896,-1816048.562,-1816032.550,-1816031.608
106,625.00,-1816036.134,-1816025.493,-1816047.599,-1816027.581,-1816034.639,-1816031.666,-1816030.701,-1816030.617,-1816052.285,-1816036.279,-1816035.331
107,630.00,-1816039.878,-1816029.195,-1816051.295,-1816031.315,-1816038.275,-1816035.417,-1816034.414,-1816034.355,-1816056.025,-1816040.026,-1816039.071
